Reporter;TradeFlow;ProductCode;Product Description;Year;Partner;Trade Value 1000USD;Quantity;Quantity Unit
Greenland;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;            684.55;13902.9;Item
Palau;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;            501.01;8824;Item
Sao Tome and Principe;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;            485.54;8254;Item
Gambia, The;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;            329.83;;
St. Kitts and Nevis;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;            305.19;6198.33;Item
Comoros;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;            287.70;5843.02;Item
Kiribati;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;            282.93;5188;Item
Montserrat;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;            250.12;5079.9;Item
Central African Republic;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;            170.70;2902;Item
Guinea-Bissau;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;            156.20;3172.3;Item
Maldives;Import;401110;New pneumatic tyres, of rubber of a kind used o;2015; World;             22.19;1281;Item
